Name,URL,Status,Final Score,UI Score,UX Score,Bugs Score,Features Score,ELD Score
"spotter.lavandesn.com","https://spotter.lavandesn.com/","complete",3,1,1,10,3,0
"trips-frontend-dusky.vercel.app","https://trips-frontend-dusky.vercel.app","complete",2.4,1,1,10,0,0
"eld-client.onrender.com","https://eld-client.onrender.com","complete",1.8,1,0,8,0,0
"eld-log-app-git-main-mert-gokhan-donmezs-projects.vercel.app","https://eld-log-app-git-main-mert-gokhan-donmezs-projects.vercel.app/","complete",2.6,1,0,10,2,0
"tracking-user-app.netlify.app","https://tracking-user-app.netlify.app/","complete",2.2,1,1,8,1,0
"frontend-nine-phi-12.vercel.app","https://frontend-nine-phi-12.vercel.app/","complete",3.2,1,2,10,3,0
"tripapp-ydoc.onrender.com","https://tripapp-ydoc.onrender.com","complete",3.2,2,1,10,3,0
"tripplanner-frontend-production.up.railway.app","https://tripplanner-frontend-production.up.railway.app/","complete",2.2,3,0,8,0,0
"spotter-ai-logbook-react-frontend.vercel.app","https://spotter-ai-logbook-react-frontend.vercel.app","complete",3,1,1,10,3,0
"driver-logbook.vercel.app","https://driver-logbook.vercel.app/","complete",3,1,1,10,3,0
"trip-planning-logging.netlify.app","https://trip-planning-logging.netlify.app/","complete",3,2,0,10,3,0
"eldlog.duckdns.org","http://eldlog.duckdns.org","error",N/A,N/A,N/A,N/A,N/A,N/A